Date,Open,High,Low,Close,Adj Close,Volume
2021-09-01,26.738432,29.735182,26.132544,29.735182,29.735182,1847068364
2021-09-02,29.754448,30.867119,28.786728,29.985245,29.985245,1639033323
2021-09-03,29.970032,31.674488,29.06896,30.784266,30.784266,1643428629
2021-09-04,30.755642,31.171709,29.473406,29.897823,29.897823,1159289898
2021-09-05,29.901953,33.503429,29.580906,33.503429,33.503429,1590082788
2021-09-06,33.557442,36.278076,32.819164,34.784859,34.784859,2570028656
2021-09-07,34.804367,35.337555,24.154762,28.11425,28.11425,4040870040
2021-09-08,28.137459,29.146536,25.2773,27.151009,27.151009,2585516285
2021-09-09,26.64719,30.077606,26.527493,27.978628,27.978628,2031066692
2021-09-10,27.998068,29.514618,25.736425,26.387524,26.387524,1946136767
2021-09-11,26.370699,27.651585,26.31904,27.041149,27.041149,1166180450
2021-09-12,27.039568,29.692263,26.435869,29.379244,29.379244,1462168959
2021-09-13,29.458279,29.899315,25.265755,26.918482,26.918482,2255860309
2021-09-14,26.963564,30.746164,26.780527,30.746164,30.746164,2022844880
2021-09-15,30.823067,31.436686,29.685476,30.7796,30.7796,1966187057
2021-09-16,30.688686,32.082504,29.090736,29.826551,29.826551,1803464603
2021-09-17,29.819483,30.111341,27.423178,27.694597,27.694597,1433695398
2021-09-18,27.695265,29.447355,27.415915,28.390577,28.390577,1042938776
2021-09-19,28.371956,28.732502,26.981167,27.395748,27.395748,879401513
2021-09-20,27.417053,27.423998,23.167374,23.431099,23.431099,1886071779
2021-09-21,23.561632,24.334465,20.981634,21.432621,21.432621,1778536991
2021-09-22,21.403839,24.494505,21.060865,24.493073,24.493073,1389451521
2021-09-23,24.474554,25.48967,23.434124,25.453983,25.453983,1217369814
2021-09-24,25.434427,25.505033,21.47966,23.280739,23.280739,1642781332
2021-09-25,23.271824,24.722418,22.115114,24.523661,24.523661,1343113784
2021-09-26,24.542103,25.388987,22.432241,24.602156,24.602156,1923140692
2021-09-27,24.65818,25.437405,23.005184,23.066298,23.066298,1068472473
2021-09-28,23.029099,23.74106,22.024334,22.1019,22.1019,1022623443
2021-09-29,22.128996,23.88891,22.043354,22.880529,22.880529,1000762987
2021-09-30,22.879948,24.383442,22.734821,23.986349,23.986349,957760691
2021-10-01,24.005281,26.617813,23.614092,26.29744,26.29744,1269326500
2021-10-02,26.317596,27.800234,25.854906,26.946743,26.946743,1069727997
2021-10-03,26.923655,28.150778,26.556833,27.55904,27.55904,962924866
2021-10-04,27.567171,27.651257,25.703037,26.559357,26.559357,1000028043
2021-10-05,26.597141,27.452246,26.296202,27.242628,27.242628,923894408
2021-10-06,27.242439,28.157341,25.267496,26.837267,26.837267,1266748826
2021-10-07,26.805044,27.649626,25.940744,26.834036,26.834036,1161243659
2021-10-08,26.824757,27.43194,26.201254,26.400961,26.400961,907071603
2021-10-09,26.355734,27.823101,26.131357,27.417076,27.417076,901974700
2021-10-10,27.433397,27.446884,25.522945,25.648935,25.648935,766870491
2021-10-11,25.594345,26.723255,24.675758,25.258816,25.258816,857342207
2021-10-12,25.251425,25.252468,23.568867,24.623648,24.623648,1034956366
2021-10-13,24.643555,25.61175,24.212311,25.61175,25.61175,1072082751
